id,title,author
1,The Great Gatsby,F. Scott Fitzgerald
2,To Kill a Mockingbird,Harper Lee
3,1984,George Orwell
4,Pride and Prejudice,Jane Austen
5,The Catcher in the Rye,J.D. Salinger
6,One Hundred Years of Solitude,Gabriel García Márquez
7,Brave New World,Aldous Huxley
8,The Hobbit,J.R.R. Tolkien
9,Fahrenheit 451,Ray Bradbury
10,War and Peace,Leo Tolstoy
11,Crime and Punishment,Fyodor Dostoevsky
12,The Brothers Karamazov,Fyodor Dostoevsky
13,The Odyssey,Homer
14,The Divine Comedy,Dante Alighieri
15,Madame Bovary,Gustave Flaubert
16,Wuthering Heights,Emily Brontë
17,Jane Eyre,Charlotte Brontë
18,Moby-Dick,Herman Melville
19,Great Expectations,Charles Dickens
20,A Tale of Two Cities,Charles Dickens
21,The Count of Monte Cristo,Alexandre Dumas
22,Les Misérables,Victor Hugo
23,Don Quixote,Miguel de Cervantes
24,Ulysses,James Joyce
25,The Sound and the Fury,William Faulkner
26,As I Lay Dying,William Faulkner
27,In Search of Lost Time,Marcel Proust
28,The Trial,Franz Kafka
29,The Metamorphosis,Franz Kafka
30,The Stranger,Albert Camus
31,The Plague,Albert Camus
32,The Master and Margarita,Mikhail Bulgakov
33,Lolita,Vladimir Nabokov
34,Pale Fire,Vladimir Nabokov
35,Catch-22,Joseph Heller
36,Slaughterhouse-Five,Kurt Vonnegut
37,Cat's Cradle,Kurt Vonnegut
38,Beloved,Toni Morrison
39,Song of Solomon,Toni Morrison
40,Invisible Man,Ralph Ellison
41,Native Son,Richard Wright
42,Their Eyes Were Watching God,Zora Neale Hurston
43,The Color Purple,Alice Walker
44,Things Fall Apart,Chinua Achebe
45,Midnight's Children,Salman Rushdie
46,The God of Small Things,Arundhati Roy
47,White Teeth,Zadie Smith
48,Never Let Me Go,Kazuo Ishiguro
49,The Remains of the Day,Kazuo Ishiguro
50,A Fine Balance,Rohinton Mistry
51,The White Tiger,Aravind Adiga
52,Life of Pi,Yann Martel
53,The Road,Cormac McCarthy
54,Blood Meridian,Cormac McCarthy
55,No Country for Old Men,Cormac McCarthy
56,The Grapes of Wrath,John Steinbeck
57,Of Mice and Men,John Steinbeck
58,East of Eden,John Steinbeck
59,The Sun Also Rises,Ernest Hemingway
60,Old Man and the Sea,Ernest Hemingway
61,For Whom the Bell Tolls,Ernest Hemingway
62,Heart of Darkness,Joseph Conrad
63,Lord Jim,Joseph Conrad
64,Nostromo,Joseph Conrad
65,Frankenstein,Mary Shelley
66,Dracula,Bram Stoker
67,The Picture of Dorian Gray,Oscar Wilde
68,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson
69,Treasure Island,Robert Louis Stevenson
70,Alice's Adventures in Wonderland,Lewis Carroll
71,Through the Looking-Glass,Lewis Carroll
72,Gulliver's Travels,Jonathan Swift
73,Robinson Crusoe,Daniel Defoe
74,Moll Flanders,Daniel Defoe
75,Vanity Fair,William Makepeace Thackeray
76,Tess of the d'Urbervilles,Thomas Hardy
